gene	mean_diff	cv_FXS_zscore	cv_NL_zscore
A1BG	-10.891066666666667	2.138479525181241	-0.0038951190854305496
A1CF	2.9598583333333366	0.08220604973586736	-0.09863623800441013
A2M	4.546108333333336	0.4082249108407301	0.8923341026471722
A2ML1	-8.020983333333334	-0.2404740153882646	-0.9531855692596143
A3GALT2	-4.51530833333333	0.8455074549552214	-0.142286312278839
A4GALT	-4.625832499999998	0.8224431307873263	-0.9845849317504676
A4GNT	8.275716666666668	-0.44222971211972534	-0.1347215600146584
AAAS	-0.008752500000003494	-0.04868598838562123	-0.4510992048169937
AACS	-2.195549999999999	0.01276021602668783	-0.9306045518646204
AADAC	-3.709141666666664	-0.9473653130662707	-1.1042162192603244
AADACL2	2.1833500000000043	-0.5271204205097594	-1.2967143752854327
AADACL3	-3.3644208333333303	1.2284413683019384	-0.8393232597734671
AADACL4	-10.443408333333338	-1.5187738027157822	-1.0575946935028804
AADAT	0.44018916666666463	1.1451727374962055	-0.32933389268756136
AAGAB	1.2071000000000005	-0.1290804051602891	-1.0632363417522361
AAK1	-3.225941666666671	-1.5141465952108966	-0.8167758650609999
AAMDC	-2.2821666666666545	-0.24829480917925587	-0.2418723065404518
AAMP	-0.8828816666666679	0.026270987200948163	-0.4194123066826986
AANAT	-3.2994683333333352	1.0428973944447195	-0.6998789258134489
AAR2	0.4839508333333331	-0.33337869211995635	0.0366038879333082
AARD	-6.0471833333333365	-0.44001718886315877	0.055712164514414915
AARS1	0.6558216666666681	-0.23514053402778679	0.5275763732543268
AARS2	-4.627390833333333	1.3669842601872462	-0.09505439766651003
AARSD1	0.8248416666666678	-0.4493580839193723	-1.3740219386016899
AASDH	-16.920216666666647	-0.323625795452206	-0.8475960427347549
AASDHPPT	9.729375000000001	0.06469801773824002	0.37788273009176326
AASS	7.626083333333341	-1.138168924911713	0.09086471135440327
AATF	-8.673841666666668	0.23215188222301447	-0.8590034793617404
AATK	-6.201576666666668	1.5748367797331775	-0.11030094881505384
ABAT	-3.3431583333333315	-0.44341288682324853	-0.4935897901356154
ABCA1	5.243991666666668	0.5787729108477396	-0.8727420464048484
ABCA10	10.378458333333331	-0.4742153383227594	-0.2356768973038294
ABCA12	-2.3161666666666676	0.20745665849050268	-0.059414863262532994
ABCA13	2.5125666666666717	-1.2694718486141772	-1.144025361630725
ABCA2	-27.451925000000003	-0.011597686569429465	0.3833769936761359
ABCA3	-1.1026000000000007	0.8781288578230801	0.022082373923166438
ABCA4	3.3197249999999983	0.4586244263853472	-0.6859434731710572
ABCA5	2.613146666666669	2.0224620649327774	-0.728012927797892
ABCA6	14.188225000000003	-0.08723499701338026	-0.4381263156794296
ABCA7	-11.022025	0.02921254605727398	0.01439025864462428
ABCA8	3.357133333333337	-0.48949513785961113	-1.3024738539980447
ABCA9	1.2775166666666706	-1.050933033860376	0.45934633008418857
ABCB1	9.036208333333335	0.020300680476751008	-1.1201628981056517
ABCB10	0.14125916666666782	2.0128551170631375	-0.26784758991053015
ABCB11	5.861174999999999	-0.9677299963385654	-1.2861923215877828
ABCB4	-12.720333333333329	-0.7846389060210432	-0.20670913099557764
ABCB5	8.898916666666665	-0.36791181975218595	-1.0865190330104717
ABCB6	-6.673524999999998	-0.5994038679937521	-0.11282218883020255
ABCB7	1.7751666666666672	-0.47761414696031973	0.21747797965265211
ABCB8	-0.697891666666667	-0.8464218493071901	-0.25793053582770137
ABCB9	0.15709166666666619	-0.9494984053422332	0.2670050872279937
ABCC1	-1.4808083333333322	-0.8082107245344439	-0.6816856279958462
ABCC10	-5.282199999999996	0.3614915610332627	-0.6671798548588422
ABCC11	-0.9219666666666662	-0.2697273877143654	-0.5579592630126501
ABCC12	0.604616666666665	-0.8431234301085029	-0.0035148901897187643
ABCC2	-0.1810916666666671	-0.6395166882758461	-1.4074272673635473
ABCC3	0.3569250000000004	0.1818160464292505	0.3810774951046038
ABCC4	-6.805950000000003	-0.3303848280488926	-1.4028481411805742
ABCC5	4.923618333333332	1.0462472693863591	-1.1592674386720945
ABCC6	-18.744158333333317	-0.8765139133031202	-0.6586193236924117
ABCC8	0.609216666666665	0.26112632623389587	-0.46960902164790963
ABCC9	4.0053916666666645	-0.8761998993252031	-0.475661207220093
ABCD1	-4.949066666666667	-0.19535265816373049	0.659602298133871
ABCD2	-17.126541666666668	-0.9931573676738088	-0.8341001702673111
ABCD3	2.140591666666669	-0.9943602445433252	0.05974143399167908
ABCD4	1.0522750000000016	-1.1580722056357549	-0.4359611778536383
ABCE1	0.0316158333333334	1.6977666710345676	0.14544710454957424
ABCF1	-3.3517374999999987	-1.1156408546232597	-0.5447554865831669
ABCF2	-0.03988999999999976	-0.5997344706581363	0.0861811700568801
ABCF3	5.5924416666666685	0.7351708465703674	-0.5226473051286333
ABCG1	-7.783674999999999	-0.24225123270349658	-0.09561955094780934
ABCG2	2.4608083333333326	0.07595078687766	-1.5799484378320092
ABCG4	-5.446176666666663	0.48848031507067713	0.24364309246366964
ABCG5	-3.5455250000000014	-0.9606148834246541	-1.0435974407679702
ABCG8	-5.352683333333335	0.6560635418356876	0.05441163742925529
ABHD1	-9.427683333333336	-0.013049884830603238	-1.1531945523131781
ABHD10	-0.6036175000000021	1.0396910306575051	-0.7220180849186872
ABHD11	-4.355193333333332	1.3255146964040447	0.39554066290636797
ABHD12	-0.9608533333333327	-1.1439503556709962	1.5789636879804558
ABHD12B	0.35317500000000024	-0.028789630822258	-0.4542446862319756
ABHD13	5.819650000000001	-0.07968867855403845	-1.1434540218916287
ABHD14A	-1.9263249999999985	0.013374958443515045	0.15578060677356417
ABHD14B	-0.16060583333333156	1.6421491662965997	0.09852576543783811
ABHD15	-3.3770375	1.52867954345384	-1.0167670765312073
ABHD16A	-1.9473416666666648	-0.8896746414042374	-0.7041231898998495
ABHD16B	-5.516285833333331	1.1091463102284267	1.283290465246201
ABHD17A	0.6541208333333337	1.8892502596750596	-0.1520806393855033
ABHD17B	2.2094416666666667	-0.40854447337858335	-0.21091750135313142
ABHD17C	-1.0139833333333286	-1.0537091265077632	0.6369836112592058
ABHD18	2.043758333333333	-0.89298483418796	-0.16677193992830272
ABHD2	-1.6051833333333327	0.3377781447241723	0.11822985885617972
ABHD3	-5.390866666666668	-0.6598897865325657	-0.3110408105594172
ABHD4	-0.09109416666666803	0.7671577037773616	-0.24118508395233165
ABHD5	7.815563333333333	0.18688504341929826	-0.3396906070100726
ABHD6	-4.412308333333332	0.438329174843735	-0.25520366035074804
ABHD8	-9.05853333333333	-0.19245707183921082	-0.3939092201981878
ABI1	0.6855791666666651	0.38281975620402564	-0.8612134369626501
ABI2	11.10389166666667	-0.26102786204752126	0.35410319499470716
ABI3	-8.401939166666667	0.8019534184812199	-1.3142737278789434
ABI3BP	6.002433333333332	0.6959484630727574	1.1682658472762089
ABITRAM	0.45478166666666553	1.9379773542422682	-0.3685688787481106
ABL1	-0.3861350000000012	0.04837835887632735	-1.470378825573705
ABL2	-0.25178333333333214	0.4602808185301534	-0.964053813632842
ABLIM1	0.4429741666666658	0.08453023751227753	-1.415215387277374
ABLIM2	-7.33368333333333	-0.030435240511149805	-0.9638057303771524
ABLIM3	9.219225000000002	-0.13455924945375686	-1.236489439373516
ABR	-2.6381983333333316	0.3138968250291052	-0.3119905445187668
ABRA	0.9316999999999993	0.38105944450003043	0.03991162318068856
ABRACL	-10.186591666666665	-0.7505965165016086	-0.5000415154375975
ABRAXAS1	4.85426	-0.12503468920677072	0.650428016532725
ABRAXAS2	-2.912324999999999	-0.22857960064736735	-1.300203478663234
ABT1	3.6158241666666644	0.9096616358233007	0.04010318615593495
ABTB1	3.553817499999999	1.2928981837134752	0.014892832725352759
ABTB2	-4.594888333333335	0.009196338037821205	0.45788087593085847
ABTB3	-6.333335	1.410180537331117	-1.4112340322888788
ACAA1	3.1380416666666644	-0.35944948604586124	-1.2072405832266278
ACAA2	-0.5242416666666649	-0.06929794248792877	-0.4695462144343155
ACACA	-2.9191825	0.6602988509432635	0.6012499896495613
ACACB	3.4081166666666682	-1.2491450364921446	-1.09436150765096
ACAD10	-5.909072500000001	0.4640676051504666	0.3821713610972117
